Alerts,Alert - Rate Lock Request Denied,Alert.RateLockDenied.AlertCount,
Alerts,Alert - Rate Lock Requested,Alert.RateLockRequested.AlertCount,
Alerts,"Alert - Redisclose Closing Disclosure (APR, Product, Prepay)",Alert.RediscloseCDAPR_Product_Prepay.AlertCount,
Alerts,Alert - Redisclose Closing Disclosure (Changed Circumstance),Alert.RediscloseCDChangedCircumstances.AlertCount,
Alerts,Alert - Redisclose Closing Disclosure (NBO Updated),Alert.RediscloseCdAfterVestingNboAdded.AlertCount,
Alerts,Alert - Redisclose Closing Disclosure (Rate Lock),Alert.RediscloseCDRateLock.AlertCount,
Alerts,Alert - Redisclose GFE (Changed Circumstance),Alert.RediscloseGFEChangedCircumstances.AlertCount,
Alerts,Alert - Redisclose GFE (Rate Lock),Alert.RediscloseGFERateLocked.AlertCount,
Alerts,Alert - Redisclose Loan Estimate (Changed Circumstance),Alert.RediscloseLEChangedCircumstances.AlertCount,
Alerts,Alert - Redisclose Loan Estimate (Rate Lock),Alert.RediscloseLERateLock.AlertCount,
Alerts,Alert - Redisclose REGZ - TIL (APR Change),Alert.RediscloseTILRateChange.AlertCount,
Alerts,Alert - Registration Expiration,Alert.RegistrationExpired.AlertCount,
Alerts,Alert - Residual Income Assessment Recommended,Alert.ResiduallncomeAssessmentRecommended.AlertCount,
Alerts,Alert - Send Initial Disclosures,Alert.InitialDisclosures.AlertCount,
Alerts,Alert - Shipping Due,Alert.ShippingExpected.AlertCount,
Alerts,Alert - Statement Printing/Mailing Due,Alert.PrintMailPaymentStatement.AlertCount,
Alerts,Alert - Streamline Initial Disclosure Alert,Alert.Streamline Initial Disclosure Alert.AlertCount,
Alerts,Alert - Task Expected,Alert.TaskDue.AlertCount,
Alerts,Alert - Task Follow Up,Alert.TaskFollowUp.AlertCount,
Alerts,Alert - Three-Day Disclosure Requirements,Alert.ThreeDayDisclosureRequirements.AlertCount,
Alerts,Alert - Trust Data Entry,Alert.Trust Data Entry AlertCount,
Alerts,Alert - Underwriting Condition Expected,Alert.UnderwritingConditionExpected.AlertCount,
Alerts,Alert - VA Discount Charge Violation,Alert.VADiscountChargeViolation.AlertCount,
Alerts,Alert - Withdrawn Loan,Alert.WithdrawnLoan.AlertCount,
ARM,First Rate Adjustment Cap,697,
ARM,First Rate Adjustment Date,3054,
ARM,Floor Rate,1699,
ARM,Life Cap,247,
ARM,Margin,689,
Audit Trail,Select Data from the Audit Trail,AuditTrail,
Borrowers,Borr Business Phone,FE0117,
Borrowers,Borr Home Phone,66,
Borrowers,Borr Present Addr,FR0104,
Borrowers,Borr Present City,FR0106,
Borrowers,Borr Present State,FR0107,
Borrowers,Borr Present Zip,FR0108,
Borrowers,Borr SSN,65,
Borrowers,Borrower First Name,4000,
Borrowers,Borrower First/Middle Name,36,
Borrowers,Borrower Last Name,4002,
Borrowers,Borrower Last Name/Suffix,37,
Borrowers,Borrower Middle Name,4001,
Borrowers,Borrower Suffix Name,4003,
Borrowers,Co-Borr Business Phone,FE0217,
Borrowers,Co-Borr Home Phone,98,
Borrowers,Co-Borr SSN,97,
Borrowers,Co-Borrower First Name,4004,
Borrowers,Co-Borrower First/Middle Name,68,
Borrowers,Co-Borrower Last Name,4006,
Borrowers,Co-Borrower Last Name/Suffix,69,
Borrowers,Co-Borrower Middle Name,4005,
Borrowers,Co-Borrower Suffix Name,4007,
Commission,Profit Mgt Loan Officer Commission Total,PM18,
Company,Broker Lender Addr,319,
Company,Broker Lender City,313,
Company,Broker Lender Name,315,
Company,Broker Lender Sate,321,
Company,Broker Lender Zip,323,
Company,Company - Users Organization Code,ORGID,
Custom,Address for 1098,CX.1098.11,
Custom,Approval for Non CTC,CX.DOC.REQ.NONCTC.APPR.BY,
Custom,Auto Branch Password,CX.FD.CREDIT.BRANCH,
Custom,Basis Total in Dollars,CX.BCBD.BASIS.DOLLARS,
Custom,BCBD Completed By,CX.BCBD.COMPLETED.BY,
Custom,BCBD Completed On,CX.BCBD.COMPLETED.ON,
Custom,BCBD LO Comp Borrower Paid,CX.BCBD.LO.COMP.BORROWERPAID,
Custom,BCBD LO Comp Lender Paid,CX.BCBD.LO.COMP.LENDERPAID,
Custom,BCBD Loan Type High Balance,CX.BCBD.LOAN.TYPE.HIGH.BAL,
Custom,BCBD Loan Type Jumbo,CX.BCBD.LOAN.TYPE.JUMBO,
Custom,BCBD Notes,CX.BCBD.NOTES,
Custom,BCBD Notes for the Override Section,CX.BCBD.OVERRIDE.NOTES,
Custom,BCBD Originating LO Basis,CX.BCBD.ORIG.LO.BASIS,
Custom,BCBD Originating Loan Officer,CX.BCBD.ORIG.LO,
Custom,BCBD Originating Loan Officer Net Commission,CX.BCBD.ORIG.LO.NET.COMMISH,
Custom,BCBD Originating Loan Officer Percentage,CX.BCBD.ORIG.LO.PERCENT,
Custom,BCBD Override Loan Officer,CX.BCBD.OVERRIDE.LO,
Custom,BCBD Override Loan Officer Basis,CX.BCBD.OVERRIDE.LO.BASIS,
Custom,BCBD Override Loan Officer Net Commission,CX.BCBD.OVERRIDE.LO.NET.COMM,
Custom,BCBD Override Loan Officer Percentage,CX.BCBD.OVERRIDE.LO.PERCENT,
Custom,BCBD Processed - Date Format,CX.BCBD.PROCESSED.DATE.FORMT,
Custom,BCBD Processed By,CX.BCBD.PROCESSED.BY,
Custom,BCBD Processed by Manager,CX.BCBD .MANAGER.PROCESSED,
Custom,BCBD Processed Date,CX.BCBD.PROCESSED.ON,
Custom,BCBD Processor Bonus,CX.BCBD.PROCESSOR.BONUS,
Custom,Borrower Communication Perference,CX.BORROWER.COMM.PERFERENCE,
Custom,Broker Check Breakdown Completed,CX.BCBD.COMPLETED,
Custom,CD CIC Requested by,CX.CD.REQ.CIC.BY,
Custom,CD CIC Requested on,CX.CD.REQ.CIC.ON,
Custom,CD Drawer Assigned,CX.UAM.CD.DRAWER.ASSIGNED,
Custom,CD Request Approval Confirmed by Processor,CX.CD.REQ.APPROVAL.PROC,
Custom,CD Request Approved by Loan Officer,CX.CD.REQ.APPROVAL.LO,
Custom,CD Request Approved by Loan Officer Assistant,CX.CD.REQ.APPROVAL.LOA,
Custom,CD Request has been Returned By,CX.CD.REQ.RETURNED.BY,
Custom,CD Request Returned On,CX.CD.REQ.RETURN.DATE,
Custom,CD Requested - Date Format,CX.CD.REQUEST.DATE.FORMAT,
Custom,Check to see if LO is licnesed in State,CX.UAM.LO.LICENSED,
Custom,Checklist for Doc Request - Vesting Will Be in Trust Question,CX.DOC.REQ.VESTING.TRST.QUES,
Custom,City for 1098,CX.1098.12,
Custom,Closing Disclosure Requested,CX.CD.REQ,
Custom,Closing Disclosure Requested By,CX.CD.REQ.BY,
Custom,Closing Disclosure Requested Date,CX.CD.REQ.DATE,
Custom,Consumer Connect Site Confirmed,CX.CC.SITE.ID.CONFIRMED,
Custom,Consumer Connect Site ID at First Contact,CX.CC.SITE.ID.INITIAL,
Custom,Contingency Removal Date,CX.CONTINGENCY.REMOVAL.DATE,
Custom,Current User - NMLS Expiration Date,CX.KM.USER.NMLS.EXPIRE,
Custom,Custom,CX.DATE.DIFF.CREATION.CUSTOM,
Custom,Doc Order CD Request - Date Format,CX.CD.REQ.DATE.FORMAT,
Custom,Doc Request - Exception if not CTC,CX.DOC.REQ.EXCEPT.FOR.CTC,
Custom,Doc Request Approval Confirmed by Processor,CX.DOC.REQ.APPROVAL.PROC,
Custom,Doc Request Approved by Loan Officer,CX.DOC.REQ.APPROVAL.LO,
Custom,Doc Request Approved by Loan Officer Assistant,CX.DOC.REQ.APPROVED.LOA,
Custom,Doc Request Approved by Loan Officer Assistant,CX.DOC.REQ.APPROVAL.LOA,
Custom,DOT Received Date,CX.DOT.RECEIVED.DATE,
Custom,DOT Requested Date,CX.DOT.REQUESTED.DATE,
Custom,DOT Shipped Date,CX.DOT.SHIPPED.DATE,
Custom,eConsent Date at First Contact,CX.CC.3983,
Custom,Enterprise Auto Branch Password,CX.CBC.CREDIT.BRANCH,
Custom,Field used to block Non-DFPI lenders,CX.DFPI.ORIG.NOT.ALLOWED,
Custom,File to be Excluded from UHS Audit,CX.UHS.AUDIT.EXCLUDE,
Custom,Flip to Adverse for Application Withdrawn,CX.UAM.FLIPPER.APP.MTHDRAVWN,
Custom,Flip to Adverse for Incompleteness Using KM Tools,CX.UAM.FLIPPER.CLOSED.INCOMP,
Custom,Flip to Archive Using KM Tools,CX.UAM.FLIPPER.ARCHIVE,
Custom,Floify - Disclosures Ready,CX.DISCLOSURESREADY,
Custom,Floify - Disclosures Ready Date,CX.DISCLOSURESREADYDATE,
Custom,Floify Custom - Appraisal Ordered,CX.FLOIFY.APPRAISAL.ORDERED,
Custom,Floify Custom - Appraisal Received,CX.FLOIFY.APPRAISAL.RECEIVED,
Custom,Floify Custom - Conditions Submitted,CX.FLOIFY.CONDS.SUBMITTED,
Custom,Floify Custom - Contract Received,CX.FLOIFY.CONTRACT.RECEIVED,
Custom,Floify User,CX.CC.FLOIFY.USER,
Custom,Folder Automation - Folder to move to,CX.KM.MOVETOFOLDER,
Custom,FTP Received Date,CX.FTP.RECEIVED.DATE,
Custom,FTP Requested Date,C.FTPREQUESTED.DATE,
Custom,FTP Shipped Date,CX.FTP.SHIPPED.DATE,
Custom,Funding Date Requested,CX.FUND.DATE.REQ,
Custom,If Property in a Flood Zone Quesion,CX.DOC.ORDER.FLOOD.ZONE.QUES,
Custom,Investor Variances from Standard Flow,CX.UAM.INVSTR.DIS.CD.DOC.VAR,
Custom,KM Plugin - Current User Full Name,CX.KM.USER.FULLNAME,
Custom,KM Plugin - Current User ID,CX.KM.USER.ID,
Custom,KM Plugin - Current User Last Name,CX.KM.USER.LASTNAME,
Custom,KM Plugin - Current User Personas,CX.KM.USER.PERSONAS,
Custom,KM Plugin - Current User Roles,CX.KM.USER.ROLES,
Custom,KM Plugin - Current User User Groups,CX.KM.USER.GROUPS,
Custom,KM Plugin - Disclosure Doc Count for last disclosure,CX.KM.DISCDOC.LAST.COUNT,
Custom,KM Plugin - Disclosure Doc Count for last LE,CX.KM.DISCDOC.LE.COUNT,
Custom,KM Plugin - Name of last eFolder Doc Attachment Count,CX.KM.EDOC.ATTCOUNT,
Custom,KM Plugin - Read only mode,CX.KM.SANDBOXMODE.YN,
Custom,KM Plugin - Selected Borrower Pair Index,CX.KM.BORRINDEX,
Custom,KM Plugin - Trigger Field @ before the save event,CX.KM.BEFORESAVE,
Custom,KM Plugin - Trigger Field @ loan open,CX.KM.LOANOPEN,
Custom,KM Plugin - Trigger Field @ Milestone completion,CX.KM.MSCOMPLETE,
Custom,KM Plugin - Verification of Additional Loans Count,CX.KM.VOAL.COUNT,
Custom,KM Plugin - Verification of Gifts or Grants Count,CX.KM.VOGG.COUNT,
Custom,KM Plugin - Verification of Other Assets Count,CX.KM.VOOA.COUNT,
Custom,KM Plugin - Verification of Other Income Count,CX.KM.VOOI.COUNT,
Custom,KM Plugin - Verification of Other Liabilities Count,CX.KM.VOOL.COUNT,
Custom,KM Plugin - VOD Count,CX.KM.VOD.COUNT,
Custom,KM Plugin - VOE Borrower Count,CX.KM.VOE.B.COUNT,
Custom,KM Plugin - VOE CoBorrower Count,CX.KM.VOE.C.COUNT,
Custom,KM Plugin - VOE Count,CX.KM.VOE.COUNT,
Custom,KM Plugin - VOL Count,CX.KM.VOL.COUNT,
Custom,KM Plugin - VOM Count,CX.KM.VOM.COUNT,
Custom,KM Plugin - VOR Borrower Count,CX.KM.VOR.B.COUNT,
Custom,KM Plugin - VOR CoBorrower Count,CX.KM.VOR.C.COUNT,
Custom,KM Plugin - VOR Count,CX.KM.VOR.COUNT,
Custom,Loan Doc Request has been Returned by,CX.DOC.REQ.RETURNED.BY,
Custom,Loan Doc Request Returned On,CX.DOC.REQ.RETURN.DATE,
Custom,Loan Docs Logged for Funding - Date Format,CX.LOAN.DOCS.LOG.DATE.FORMAT,
Custom,Loan Docs Received - Date Format,CX.LOAN.DOCS.REC.DATE.FORMAT,
Custom,Loan Docs Request - Date Format,CX.LOAN.DOCS.REQ.DATE.FORMAT,
Custom,Loan Documents Logged for Funding,CX.LOAN.DOCS.LOG,
Custom,Loan Documents Logged for Funding By,CX.LOAN.DOCS.LOG.BY,
Custom,Loan Documents Logged for Funding Date,CX.LOAN.DOCS.LOG.DATE,
Custom,Loan Documents Received,CX.LOAN.DOCS.REC,
Custom,Loan Documents Received By,CX.LOAN.DOCS.REC.BY,
Custom,Loan Documents Received Date,CX.LOAN.DOCS.REC.DATE,
Custom,Loan Documents Redraw Requested On,CX.LOAN.DOCS.REDRAW.REQ.ON,
Custom,Loan Documents Requested,CX.LOAN.DOCS.REQ,
Custom,Loan Documents Requested By,CX.LOAN.DOCS.REQ.BY,
Custom,Loan Documents Requested Date,CX.LOAN.DOCS.REQ.DATE,
Custom,Loan Officer Basis Percentage,CX.BCBD.LO.BASIS,
Custom,Loan Officer Bonus or Loss,CX.BCBDBONUS.OR.LOSS,
Custom,Loanzify Complete,CX.LOANZIFY.COMPLETE,
Custom,Loanzify Tracking,CX.LOANZIFY.TRACK,
Custom,MCR Custom Field 1041,CX.MCR.1041,
Custom,MCR Custom Field 1045,CX.MCR.1045,
Custom,MCR Custom Field 12,CX.MCR.12,
Custom,MCR Custom Field 13,CX.MCR.13,
Custom,MCR Custom Field 1335,CX.MCR.1335,
Custom,MCR Custom Field 136,CX.MCR.136,
Custom,MCR Custom Field 1393,CX.MCR.1393,
Custom,MCR Custom Field 14,CX.MCR.14,
Custom,MCR Custom Fleld 15,CX.MCR.15,
Custom,MCR Custom Field 1771,CX.MCR.1771,
Custom,MCR Custom Field 1821,CX.MCR.1821,
Custom,MCR Custom Field 2,CX.MCR.2,
Custom,MCR Custom Field 2626,CX.MCR.2626,
Custom,MCR Custom Field 3142,CX.MCR.3142,
Custom,MCR Custom Field 317,CX.MCR.317,
Custom,MCR Custom Field 4000,CX.MCR.4000,
Custom,MCR Custom Field 4002,CX.MCR.4002,
Custom,MCR Custom Field 4004,CX.MCR.4004,
Custom,MCR Custom Field 4006,CX.MCR.4006,
Custom,MCR Custom Field 749,CX.MCR.749,
Custom,MCR Custom Field Current User,CX.MCR.CURRENT.USER,
Custom,MCR Custom Field File Starter,CX.MCR.FILE.STARTER,
Custom,MCR Custom Field LO Discrepancy,CX.MCR.LO.DISCREP,
Custom,MCR Custom Field Loan Amount Discrepancy,CX.MCR.LOAN.AMT.DISCREP,
Custom,MCR Custom Field State Discrepancy,CX.MCR.STATE.DISCREP,
Custom,MCR Custom Field URLA.X73,CX.MCR.URLA.X73,
Custom,MCR Custom Field URLA.X74,CX.MCR.URLA.X74,
Custom,MCR Custom Field URLA.X75,CX.MCR.URLA.X75,
Custom,MISMO Import File Started Date,CX.MISMO.FILE.START.DATE,
Custom,Nevada Monthly Report Last First Name,CX.MCR.NV.BORR.NAME.LST.FRST,
Custom,Notes for Doc Order Form,CX.DOC.ORDER.FORM.NOTES,
Custom,Proposed Funding Date for Doc Order Form,CX.PROPOSED.FUNDING.DATE,
Custom,Reason why loan is on Hold,CX.LOAN.HOLD.REASONS,
Custom,Reimbruse the LO for VOE Fee,CX.DOC.ORDER.REIMB.VOE.FEE,
Custom,Reimburse - Name Other 1,CX.BCBD.REIMBURS.OTHER1.NAME,
Custom,Reimburse - Other 2 Name,CX.BCBD.REIMBURS.OTHER2.NAME,
Custom,Reimburse - Other 3 Name,CX.BCBD.REIMBURS.OTHER3.NAME,
Custom,Reimburse the LO for Appraisal,CX.DOC.ORDER.REIMB.APPSL,
Custom,Reimburse the LO for Credit Report,CX.DOC.ORDER.REIMB.CREDIT,
Custom,Reimburse the LO for HOA Cert,CX.DOC.ORDER.REIMB.HOA.CERT,
Custom,Reimburse the LO for Master Insurance,CX.DOC.ORDER.REIMB.MASTERINS,
Custom,Reimburse the LO for Subordination,CX.DOC.ORDER.REIMB.SUBORD,
Custom,Reimbursement - Name of LO,CX.BCBD.REIMBURSE.NAME.LO,
Custom,Reimbursement to Loan Officer,CX.BCBD.REIMBURSE.LO,
Custom,Reimbursement to Others Box 1,CX.BCBD.REIMBURSE.OTHER1,
Custom,Reimbursement to Others Box 2,BCBD REIMBURSE THER2,
Custom,Reimbursement to Others Box 3,CX.BCBD.REIMBURSE.OTHER3,
Custom,Remove Empty 4506T Records,CX.KM.TAX.EMPTY.4506T,
Custom,Request CD CIC,CX.CD.REQ.CIC,
Custom,Round Robin - Scenario Name to Assign,CX.KM.RR.NAME,
Custom,Round Robin - Scenario Name to Decrement Load,CX.KM.RR.DEC.NAME,
Custom,RoundRobin - ErrorLog,CX.RR.ERRORLOG,
Custom,Rule Testing Checkbox,CX.RULE.TESTING,
Custom,Rush Funding Approved by,CX.RUSH.FUND.RESPONSE.BY,
Custom,Rush Funding Requested,CX.RUSH.FUND.REQ,
Custom,Rush Funding Requested by,CX.RUSH.FUND.REQ.BY,
Custom,Rush Funding Requested on,CX.RUSH.FUND.REQ.ON,
Custom,Rush Funding Response,CX.RUSH.FUND.RESPONSE,
Custom,Rush Funding Response on,CX.RUSH.FUND.RESPONSE.ON,
Custom,State for 1098,CX.1098.14,
Custom,Sync Encompass file to Loanzify,CX.LOANZIFY.SYNC,
Custom,Take Manual Control for Overrides,CX.BCBD.OVERRIDE.BUTTON,
Custom,UAM Tracking of Agent Referrals,CX.UAM.TRACK.AGENT.REFERRAL,
Custom,UAM Tracking of Loan Officer Referrals,CX.UAM.TRACK.LO.REFERRAL,
Custom,VOE Fee for Doc Order,CX.DOC.ORDER.VOE.FEE,
Custom,Zip Code for 1098,CX.1098.15,
Database,2010 Escrow Fee,NEWHUD.X808,
Database,2015 Borrower Consent when eDisclosure was sent - 1,EDISCLOSED2015TRK .eDisclosureBorrowerConsent1,
Database,2015 Borrower Consent when eDisclosure was sent - 2,EDISCLOSED2015TRK.eDisclosureBorrowerConsent2,
Database,2015 Co-Borrower Consent when eDisclosure was sent - 1,EDISCLOSED2015TRK.eDisclosureCoBorrowwerConsent.1,
Database,2015 Co-Borrower Consent when eDisclosure was sent - 2,EDISCLOSED2015TRK.eDisclosureCoBorrowerConsent.2,
Database,2015 Fulfillment Presumed Received Date - 1,EDISCLOSED2015TRK eDisclosurePresumedReceivedDate.1,
Database,2015 Fulfillment Presumed Received Date - 2,EDISCLOSED2015TRK.eDisclosurePresumedReceivedDate.2,
Database,Address Unit Type Identifier,URLA.X74,
Database,Adjustments06_1,CD3.X2,
Database,Adjustments06_2,CD3.X3,
Database,Adjustments07_1,CD3.X4,
Database,Adjustments07_2,CD3.X5,
Database,Adjustments10_1,CD3.X17,
Database,Adjustments10_2,CD3.X18,
Database,Adjustments11_1,CD3.X19,
Database,Adjustments11_2,CD3.X20,
Database,Adjustments15_1,CD3.X6,
Database,Adjustments15_2,CD3.X7,
Database,Adjustments8_1,CD3.X13,
Database,Adjustments8_2,CD3.X14,
Database,Adjustments9_1,CD3.X15,
Database,Adjustments9_2,CD3.X16,
Database,AdjustmentsfortemsPaidbySellerinAdvance16_1,CD3.X30,
Database,AdjustmentsfortensPaidbySellerinAdvance16_2,CD3.X31,
Database,ALT Cash To Close Did Change Col,CD3.X122,
Database,ALT Cash To Close Remark,CD3.X133,
Database,ALT CLosing Cost Before Did Change Col,CD3.X120,
Database,ALT Legal Limit,CD3.X132,
Database,ALT Loan Amount Did Change Col,CD3.X118,
Database,ALT Loan Amount IncDec Remark,CD3.X130,
Database,ALT Total Closing Cost Did Change Col,CD3.X119,
Database,ALT Total Closing Cost Remark,CD3.X131,
Database,ALT Total Payoffs Did Change Col,CD3.X121,
Database,Amort Type ARM Descr,995,
Database,Amort Type Balloon,HMDA.X114,
Database,Amort Type Balloon,1659,
Database,Amort Type Biweekly,423,
Database,Application Date,745,
Database,Application Date,HMDA.X29,
Database,Application Taken By,479,
Database,APR,799,
Database,ARM Apply Life Cap Low,ARM.ApplyLfCpLow,
Database,ARM Floor Basis,ARM.FlrBasis,
Database,ARM Floor Verbiage Type,ARM.FlrVerbgTyp,
Database,ARM Index Lookback Period,ARM.IdxLkbckPrd,
Database,Assumption May/May Not,677,
Database,ATR QM - Eligibility - Ability-to-Repay Loan Type,QM.X23,
Database,ATR QM - Eligibility - Is Loan Eligible for Safe Harbor?,QM.X25,
Database,ATR QM - Non-Stardard to Standard Refinance Eligibility - Refinance with...,QM.X2,
Database,ATR QM - Qualification - QM APR %,QM.X381,
Database,ATR QM - Qualification - QM HPCT Test,QM.X382,
Database,ATR QM - Qualification - This Loan exceed the threshold for Qualified Mor...,QM.X124,
Database,ATR QM - Qualification - This Loan is a Higher-Priced Covered Transaction,QM.X135,
Database,AUS #1,HMDA.X44,
Database,AUS #2,HMDA.X45,
Database,AUS #3,HMDA.X46,
Database,AUS #4,HMDA.X47,
Database,AUS #5,HMDA.X48,
Database,AUS Recommendation #1,HMDA.X50,
Database,AUS Recommendation #2,HMDA.X51,
Database,AUS Recommendation #3,HMDA.X52,
Database,AUS Recommendation #4,HMDA.X53,
Database,AUS Recommendation #5,HMDA.X54,
Database,Borr - I do not wish to furnish this info,188,
Database,Borr - I do not wish to furnish this info - 2nd,188#2,
Database,Borr Actual Fico Score,2849,
Database,Borr Age,38,
Database,Borr Age (Co-Mortgagor Pair: 2) - 2nd,38#2,
Database,Borr American Indian Tribe,4126,
Database,Borr American Indian Tribe - 2nd,4126#2,
Database,Borr Asian Indian Indicator,4148,
Database,Borr Asian Indian Indicator - 2nd,4148#2,
Database,Borr Authorized Credit Report Indicator,4073,
Database,Borr Authorized Credit Report Indicator (Co-Mortgagor Pair: 2) - 2nd,4073#2,
Database,Borr Business Phone (Co-Mortgagor Pair: 2) - 2nd,FE0117#2,
Database,Borr Cell,1490,
Database,Borr Cell (Co-Mortgagor Pair: 2) - 2nd,1490#2,
Database,Borr Chinese Indicator,4149,
Database,Borr Chinese Indicator - 2nd,4149#2,
Database,Borr Credit Report Authorization Method,4075,
